"ArtikelID","Omschrijving","Eenheid","Inhoud","Prijs","Barcode","Leverancier","Categorie","Subcategorie"
"HA62126.1","Vita Orange BA","zk","","???.95","62126","Bavaria","d","0"
"HA62127.1","Eilles bio tea magica","zk","250 gr","???.75","62127","Bavaria","d","0"
"HA62128.1","Eilles harmonizer","zk","250 gr","09.???","62128","Bavaria","d","0"
"HA62129.1","Eilles china green leaf","zk","250 gr","???.41","62129","Bavaria","d","0"
"HA62500.1","Slagroomsoesjes Goutier 8x500g","ds","8 * 500 gr","19.99","62500","Bavaria","d","0"
"HA62500.2","Moorkopsoesjes","ds","1000 gr","19.99","8,71047E+12","Bavaria","d","0"
"HA62501.1","Soesje room cacao Fantasie6x850","ds","850gr","02.???","8,71047E+12","Bavaria","d","0"
"HA62502.1","Appeltaart Beuk Wener","ds","6 st","40.75","62502","Bavaria","d","0"
"HA62502.2","Appeltaart Beuk Wener","st","1800 gr","0","8,71047E+11","Bavaria","d","0"
"HA62502.3","Appeltaart Beuk Wener","ds","6 st","40.75","8,71047E+12","Bavaria","d","0"
"HA62505.2","Moorkopsoesjes","ds","55 st","0","8,71047E+12","Bavaria","d","0"
"HA63100.1","Jus D'Orange Fullfruit 10l","bi","10 lt","51.85","63100","Bavaria","d","0"
"HA63101.1","Tropical Fullfruit 10l","bi","10 lt","57.68","63101","Bavaria","d","0"
"HA63102.1","Full fruit appelsap 10l","bi","10 lt","59.75","63102","Bavaria","d","0"
"HA65000.1","Nutroma Cups Valk 400x7,5Gr","ds","400x7,5gr","13.65","65000","Bavaria","d","0"
"HA65313.2","Vergeer kaasblokjes jb","bk","700 gr","0","8,71087E+12","Bavaria","d","0"
"HA65500.1","Van der Valk suikerstickbag 4g","ds","1000 st","20.???","65500","Bavaria","d","0"
"HA65501.1","Van der Valk suikerstick 3gr","ds","2000 st","???.95","65501","Bavaria","d","0"
"HA69000.1","Roomboterkoekjes grootmoeders","ds","2 kg","09.???","69000","Bavaria","d","0"
"VH23153.1","Sinaasappel pers","ks","14 kg","???.95","23153","Bavaria","d","0"
"VH45034.2","Koffiemelk van halder","pk","1 lt","0","5,90051E+12","Bavaria","d","0"
"VH48101.1","Jus d?range vers","fl","2 lt","04.???","48101","Bavaria","d","0"
"VH48143.1","Smoothie Ananas","fl","1 lt","???.79","48143","Bavaria","d","0"
"VH48143.2","Smoothie Ananas","fl","1 lt","???.79","8,7181E+12","Bavaria","d","0"
"VH48143.3","Smoothie Ananas","fl","1 lt","???.79","8,7181E+12","Bavaria","d","0"
"VH48143.4","Smoothie Ananas","fl","1 lt","???.79","8,7181E+12","Bavaria","d","0"
"VH48144.1","Smoothie Aardbei","fl","1 lt","???.79","48144","Bavaria","d","0"
"VH48144.2","Smoothie Aardbei","fl","1 lt","???.79","8,7181E+12","Bavaria","d","0"
"VH48144.3","Smoothie Aardbei","fl","1 lt","???.79","8,7181E+12","Bavaria","d","0"
"VH48145.1","Smoothie Kiwi","fl","1 lt","???.79","48145","Bavaria","d","0"
"VH48145.2","Smoothie Kiwi","fl","1 lt","???.79","3,7181E+12","Bavaria","d","0"
"VH48145.3","Smoothie Kiwi","fl","1 lt","???.79","8,71015E+12","Bavaria","d","0"
"VH48146.1","Smoothie Mango/passie","fl","1 lt","???.79","48146","Bavaria","d","0"
"VH48146.2","Smoothie Mango/passie","fl","1 lt","???.79","8,7181E+12","Bavaria","d","0"
"VH48146.3","Smoothie Mango/passie","fl","1 lt","???.79","8,7181E+12","Bavaria","d","0"
"VH48147.1","Smoothie annanas/ kokos","fl","1 lt","???.79","48147","Bavaria","d","0"
"VH48147.2","Smoothie annanas/ kokos","fl","1 lt","???.79","8,7181E+12","Bavaria","d","0"
"VH48201.1","Sinaasappelsap","fl","25 cl","1","48201","Bavaria","d","0"
"BA45011.1","Karnemelk","pk","1 lt","0","45011","Bavaria","d","0"
"VH23153.1","Sinaasappel pers","ks","14 kg","???.95","23153","Bavaria","d","0"
"VH45034.2","Koffiemelk van halder","pk","1 lt","0","5,90051E+12","Bavaria","d","0"
"VH48101.1","Jus d?range vers","fl","2 lt","04.???","48101","Bavaria","d","0"
"VH48143.1","Smoothie Ananas","fl","1 lt","???.79","48143","Bavaria","d","0"
"VH48143.2","Smoothie Ananas","fl","1 lt","???.79","8,7181E+12","Bavaria","d","0"
"VH48143.3","Smoothie Ananas","fl","1 lt","???.79","8,7181E+12","Bavaria","d","0"
"VH48143.4","Smoothie Ananas","fl","1 lt","???.79","8,7181E+12","Bavaria","d","0"
"VH48144.1","Smoothie Aardbei","fl","1 lt","???.79","48144","Bavaria","d","0"
"VH48144.2","Smoothie Aardbei","fl","1 lt","???.79","8,7181E+12","Bavaria","d","0"
"VH48144.3","Smoothie Aardbei","fl","1 lt","???.79","8,7181E+12","Bavaria","d","0"
"VH48145.1","Smoothie Kiwi","fl","1 lt","???.79","48145","Bavaria","d","0"
"VH48145.2","Smoothie Kiwi","fl","1 lt","???.79","3,7181E+12","Bavaria","d","0"
"VH48145.3","Smoothie Kiwi","fl","1 lt","???.79","8,71015E+12","Bavaria","d","0"
"VH48146.1","Smoothie Mango/passie","fl","1 lt","???.79","48146","Bavaria","d","0"
"VH48146.2","Smoothie Mango/passie","fl","1 lt","???.79","8,7181E+12","Bavaria","d","0"
"VH48146.3","Smoothie Mango/passie","fl","1 lt","???.79","8,7181E+12","Bavaria","d","0"
"VH48147.1","Smoothie annanas/ kokos","fl","1 lt","???.79","48147","Bavaria","d","0"
"VH48147.2","Smoothie annanas/ kokos","fl","1 lt","???.79","8,7181E+12","Bavaria","d","0"
"VH48201.1","Sinaasappelsap","fl","25 cl","1","48201","Bavaria","d","0"
"HA62110.1","Kamareta Cafe Clean B.A.","ds","100 st","32","7,6401E+12","Bavaria","o","0"
"HA62600.1","Fles Valk Naturel 75cl","fl","75 cl","???.49","9,00006E+12","Bavaria","o","0"
"HA62601.1","Fles Valk Bruisend 75cl","fl","75 cl","???.49","9,00006E+12","Bavaria","o","0"
"HA62602.1","Fles Valk Naturel 50cl","fl","50 cl","???.13","9,00006E+12","Bavaria","o","0"
"HA62603.1","Fles Valk Bruisend 50cl","fl","50 cl","???.13","9,00006E+12","Bavaria","o","0"
"HA62605.1","Dop Lichtmetaal Valkwaterfles","ds","250 st","90","9,00006E+12","Bavaria","o","0"
"HA62010.3","Tong 400/500","ds","10 kg","214.99","8,71346E+12","Bavaria","f","0"
"HA63200.3","Kalfslever bl.120g","ds","6 kg","47.44","4,00005E+13","Bavaria","f","0"
"HA658000.2","Kip spies","ds","12,5 kg","0","2,05931E+14","Bavaria","f","0"
"HA69425.4","Peka aarappelgratin","ds","6 zk","13.99","8,71112E+12","Bavaria","f","0"
"VA12223.2","Rozemarijn","hs","1 st","???.15","8,71464E+12","Bavaria","f","0"
"VH22371.2","Limes","ds","60 st","10.???","12761221","Bavaria","f","0"
"VH33013.1","PEKA aardappelbakschijven","zak","2 kg","???.95","8,71112E+12","Bavaria","f","0"
"VH5011.1","AARDAPPEL SCHIJF 5MM","zak","1 KG","???.55","5011","Bavaria","f","0"
"VH5211.1","Paksoi 10mm","zk","1 kg","0","5221","Bavaria","f","0"
"VH5568.2","Meloen Galia blok","zk","1,5 kg","???.95","8,71126E+12","Bavaria","f","0"
"VH6942.1","Gem. sla Classic","zk","500 gr","0","5942","Bavaria","f","0"
"VL435020.1","Kipfilet k&k 65gr Oosters","ls","kg","???.47","435020","Bavaria","f","0"
"VL44102.1","Gerookte spekreepjes 25-30 millimeter","tr","1 kg","0","9,87136E+13","Bavaria","f","0"
"VL511050.1","Runder kogelbiefstuk 60 gram","zk","0.9 kg","0","9,87136E+13","Bavaria","f","0"
"VL530550.2","Streaky bacon","pk","500 gr","14.87","8,71305E+12","Bavaria","f","0"
"VL590000.1","Varkens runder gehakt - zout & kruiden","zk","1 kg","0","9,87136E+13","Bavaria","f","0"
"VL590053.1","Varkens/runder worst + zout & kruiden","zk","1 kg","0","9,87136E+13","Bavaria","f","0"
"VA12223.2","Rozemarijn","hs","1 st","???.15","8,71464E+12","Bavaria","f","0"
"VH22371.2","Limes","ds","60 st","10.???","12761221","Bavaria","f","0"
"VH33013.1","PEKA aardappelbakschijven","zak","2 kg","???.95","8,71112E+12","Bavaria","f","0"
"VH5011.1","AARDAPPEL SCHIJF 5MM","zak","1 KG","???.55","5011","Bavaria","f","0"
"VH5211.1","Paksoi 10mm","zk","1 kg","0","5221","Bavaria","f","0"
"VH5568.2","Meloen Galia blok","zk","1,5 kg","???.95","8,71126E+12","Bavaria","f","0"
"VH6942.1","Gem. sla Classic","zk","500 gr","0","5942","Bavaria","f","0"
"VH72091.1","Saus Witte wijn","bk","2 lt","???.85","72091","Bavaria","f","0"
"VL435020.1","Kipfilet k&k 65gr Oosters","ls","kg","???.47","435020","Bavaria","f","0"
"VL44102.1","Gerookte spekreepjes 25-30 millimeter","tr","1 kg","0","9,87136E+13","Bavaria","f","0"
"VL511050.1","Runder kogelbiefstuk 60 gram","zk","0.9 kg","0","9,87136E+13","Bavaria","f","0"
"VL530550.2","Streaky bacon","pk","500 gr","14.87","8,71305E+12","Bavaria","f","0"
"VL590000.1","Varkens runder gehakt - zout & kruiden","zk","1 kg","0","9,87136E+13","Bavaria","f","0"
"VL590053.1","Varkens/runder worst + zout & kruiden","zk","1 kg","0","9,87136E+13","Bavaria","f","0"
"SL516409.1","Uien bos naakt","1st","","0.81","903","Sligro","f","0"
"SL87293.1","Danone huttenkaese","1st","200gr","???.43","40097138","Sligro","f","0"
"SL87227.1","Danone huttenkaese","1st","400gr","???.57","40097176","Sligro","f","0"
"SL675884.1","Bounty melk","24st","57gr","0.39","40111216","Sligro","f","0"
"SL742657.1","Mellona imkerhoning vloeibaar","1st","02.???kg","20.71","40555980","Sligro","f","0"
"SL412066.1","Kuhne augurkenblokjes zoetzuur","1pt","370ml","???.32","40737317","Sligro","f","0"
"SL19758.1","Kuhne zilveruitjes zoetzuur","1pt","370ml","???.90","40737324","Sligro","f","0"
"SL526056.1","Eat natural almonds & sultanas & hazeln.","12rp","50gr","01.???","50676262","Sligro","f","0"
"SL975645.1","Colman engelse mosterd saus","1pt","100gr","???.66","50824939","Sligro","f","0"
"SL454495.1","Ferrero kinder bueno","30st","43gr","0.62","80052760","Sligro","f","0"
"SL778726.1","Drogheria & alimentari zwart peper","6pt","45gr","???.52","80273561","Sligro","f","0"
"SL227872.1","Drogheria & alimentari 4-seizoenen peper","6pt","35gr","???.36","80273592","Sligro","f","0"
"SL685143.1","Drogheria & alimentari middell. zeezout","6pt","90gr","???.39","80273639","Sligro","f","0"
"SL941332.1","Giovanni rana gnocchi","1bk","500gr","???.24","80608349","Sligro","f","0"
"SL687072.1","Mentos gum sweetmint white","6pt","60gr","???.73","80723028","Sligro","f","0"
"SL351451.1","Mentos gum pure fresh mint bottle","6pt","60gr","???.81","80730781","Sligro","f","0"
"SL107064.1","Eru smeerkaas creme de brie 24st","1tr","24st","???.65","87187335","Sligro","f","0"
"SL107331.1","Eru smeerkaas balans 5%vet m.yoghurt","1tr","24st","???.99","87187342","Sligro","f","0"
"SL107111.1","Eru smeerkaas goudkuipje 48+","1tr","24st","???.66","87187441","Sligro","f","0"
"SL108191.1","Eru smeerkaas goudkuipje 48+","1st","24st","???.22","87187458","Sligro","f","0"
"SL107116.1","Kramer halve haan","1ds","4st","???.79","87211993","Sligro","f","0"
"SL108007.1","Zandvliet gerookte kipfilet","1pk","250gr","???.71","87244069","Sligro","f","0"
"SL106966.1","Zandvliet gekookte gelderse, halve maan","1pk","500gr","02.???","87244755","Sligro","f","0"
"SL106694.1","Panesco vikingbrod 12x6st","1ds","72st","27.5","5412632717","Sligro","f","0"
"SL105693.1","Tabasco red pepper sauce","1fl","57ml","???.26","11210115231","Sligro","f","0"
"SL606584.1","Bonduelle aubergine gegrild","1zk","1kg","???.27","43387000423","Sligro","f","0"
"SL108751.1","Mae ploy curry paste green","1pt","400gr","???.28","44738102353","Sligro","f","0"
"SL979314.1","Patak’s pappadums naturel","1ds","100gr","???.43","69276981017","Sligro","f","0"
"SL17714.1","Yama wasabi poeder 1kg","1zk","1kg","09.???","77377834606","Sligro","f","0"
"SL24494.1","Lee kum kee panda oyster sauce","1fl","510gr","???.85","78895300024","Sligro","f","0"
"SL756509.1","Lee kum kee hoisin sauce","1fl","397gr","???.28","78895700022","Sligro","f","0"
"SL55945.1","Flavored sesame garlic","1pt","100gr","02.???","6,407E+11","Sligro","f","0"
"SL881883.1","Flavored sesame smoked","1pt","100gr","02.???","6,407E+11","Sligro","f","0"
"SL881891.1","Olitalia olijfolie extra vierge","1bl","5lt","27.6","6,57738E+11","Sligro","f","0"
"SL557874.1","Tung chun oystersauce","1fl","420ml","???.57","7,26003E+11","Sligro","f","0"
"SL515291.1","Mississippi barbecue sauce","1fl","500gr","???.38","7,43639E+11","Sligro","f","0"
"SL358699.1","Mississippi barbecue sauce sweet ’n mild","1fl","14.73kg","???.70","7,43639E+11","Sligro","f","0"
"SL359865.1","Meloen galia 5","1st","","???.14","8,21783E+11","Sligro","f","0"
"SL109312.1","Corte buona mortadella","1kg","","???.55","2,1302E+12","Sligro","f","0"
"SL165088.1","Gouden banier gekookte gelderse worst","1pk","01.???kg","???.86","2,13318E+12","Sligro","f","0"
"SL165075.1","Gouden banier kipfilet naturel","1kg","","???.95","2,13319E+12","Sligro","f","0"
"SL21404.1","Gouden banier slagersachterham 1/2","1kg","","???.74","2,13329E+12","Sligro","f","0"
"SL181372.1","Gegrilde mini beenham","1kg","","???.26","2,13602E+12","Sligro","f","0"
"SL299798.1","Ontbijtspek plat","1kg","","???.17","2,13626E+12","Sligro","f","0"
"SL275464.1","Royal club ginger ale, fles","28 fs","20 cl","0.47","87311327","Bavaria","d","0"
"SL398568.1","Pepsi cola regular, flesje","28fl","20cl","0.38","40608037","Sligro","d","0"
"SL993847.1","Pepsi cola light suikerarm, flesje","28fl","20cl","0.36","40608112","Sligro","d","0"
"SL930433.1","Fanta orange regular, petfles","12fl","50cl","0.85","40822938","Sligro","d","0"
"SL169260.1","Monkey 47 schwarzwald dry gin","1fl","70cl","33.66","42213277","Sligro","d","0"
"SL187438.1","Fanta cassis, petfles","12fl","50cl","0.85","50112753","Sligro","d","0"
"SL344069.1","Aquarius lemon, 1-way pet-fles","12fl","50cl","01.???","50112784","Sligro","d","0"
"SL97808.1","Schweppes bitter lemon, flesje","24fl","20cl","0.48","50112845","Sligro","d","0"
"SL227194.1","Johnnie walker whisky red label 40%","1fl","70cl","21.25","50267026","Sligro","d","0"
"SL602344.1","Hoegaarden wit","24fl","30cl","0.56","54018143","Sligro","d","0"
"SL15330.1","Palm speciale 24 fles","24fl","33cl","0.48","54057012","Sligro","d","0"
"SL378288.1","Spa reine glas","28fl","25cl","0.24","54087149","Sligro","d","0"
"SL444408.1","Spa intense","28fl","25cl","0.25","54087156","Sligro","d","0"
"SL756672.1","Coca-cola regular, 1-way pet-fles","24fl","50cl","0.85","54491472","Sligro","d","0"
"SL943156.1","Limonino citroensap","18fl","100ml","0.43","80169529","Sligro","d","0"
"SL24703.1","Nutroma koffiemelk halfvol pak","6pk","1lt","???.53","87124248","Sligro","d","0"
"SL740692.1","Chocomel","24bl","25cl","0.73","87124385","Sligro","d","0"
"SL807957.1","Fristi rood fruit","24bl","25cl","0.79","87124910","Sligro","d","0"
"SL975742.1","Hero cassis, flesje","24fl","20cl","0.41","87135565","Sligro","d","0"
"SL921269.1","Bavaria pilsener, blik","24bl","25cl","0.51","87148169","Sligro","d","0"
"SL956426.1","Sourcy mineraalwater rood koolz.houdend","6fl","50cl","0.4","87156065","Sligro","d","0"
"SL980917.1","Rivella, flesje","28fl","20cl","0.52","87156126","Sligro","d","0"
"SL922757.1","Sourcy mineraalwater rood koolz.houdend","28fl","20cl","0.29","87156416","Sligro","d","0"
"SL500783.1","Seven-up, blik","24bl","33cl","0.33","87156843","Sligro","d","0"
"SL107284.1","Appelsientje appelsap, pet-fles","24fl","25cl","0.7","87184235","Sligro","d","0"
"SL107056.1","Appelsientje sinaasappelsap, pet-fles","24fl","25cl","0.74","87184242","Sligro","d","0"
"SL107967.1","Kanjers choco caramel wafels","24st","45gr","0.27","87212426","Sligro","d","0"
"SL104684.1","Aa drink high energy, fles","24fl","33cl","0.49","87222081","Sligro","d","0"
"SL106351.1","Raak limonadesiroop cassis","6fl","75cl","???.46","87222548","Sligro","d","0"
"SL107983.1","Bar le duc mineraalwater met koolzuur","12fl","50cl","0.29","87222920","Sligro","d","0"
"SL104922.1","Oma’s cake naturel heel","1st","900gr","???.13","87241174","Sligro","d","0"
"SL104757.1","Schrobbeler kruidenlikeur 21,5%","1fl","70cl","???.85","87295528","Sligro","d","0"
"SL104862.1","Nkc koolzuurgas co2 13,4 liter","1cl","13lt","37.69","87301038","Sligro","d","0"
"SL107954.1","Royal club tonic","28fl","20cl","0.5","87311334","Sligro","d","0"
"SL106916.1","Red bull energy drink, blik","24fl","25cl","01.???","90162909","Sligro","d","0"
"SL106877.1","Minute maid appel, flesje","24fl","20cl","0.51","90491436","Sligro","d","0"
"SL107205.1","Minute maid orange, blik","24bl","33cl","0.84","90494024","Sligro","d","0"
"SL105216.1","Pidy profiterolles","1ds","24st","???.28","20176823005","Sligro","d","0"
"SL447760.1","Ocean spray cranberry juice, pet-fles","6fl","1lt","???.81","31200456991","Sligro","d","0"
"SL197514.1","Arm&hammer baking soda","1pk","454gr","01.???","33200011101","Sligro","d","0"
"SL792482.1","Schoonloopmat 120x180cm","st","","45.13","8,71113E+12","Bavaria","o","0"
"SL878248.1","Ldpe 80x110 t70 blauw 10rol 20stuks","8pk","","33.2","26604237","Sligro","o","0"
"SL107182.1","Axe compressed deospray black","1st","100ml","???.36","96100554","Sligro","o","0"
"SL107221.1","Vacuumzakken 15x25cm 70c","1st","","???.32","1193323921","Sligro","o","0"
"SL105384.1","Vacuumzakken 25x35cm 70c","1st","","15.68","1199654883","Sligro","o","0"
"SL105685.1","Vacuumzakken 250x280 70c","1st","","???.88","1199975827","Sligro","o","0"
"SL104676.1","Vacuumzakken 20x33cm 70c","1st","","???.88","1199977449","Sligro","o","0"
"SL105436.1","Polifix schuurspons geel/sch.pad gr.10st","1pk","10st","???.50","7789089507","Sligro","o","0"
"SL104647.1","Bormioli rocco coupe primavera uni","2ls","","???.40","11381002699","Sligro","o","0"
"SL106762.1","Bormioli rocco beugelfles 0l25","1st","","2","11381036021","Sligro","o","0"
"SL106903.1","Bormioli rocco beugelfles 0l50","1st","","02.???","11381038681","Sligro","o","0"
