Sligro;ivp;vp;maat;eh;Sligro artikelomschrijving;prijs;Categorie;Subcategorie;barcode;Leverancier
106911.1;1;ds;;;Arcoroc amuseglas chiquito 22cl;4.70;o;Glaswerk;26102271650;Sligro
106432.1;1;st;;;Kan broc arc 1,3ltr;3.14;o;Glaswerk;26102363669;Sligro
105091.1;1;ds;;;Arcoroc irish coffee plaza 24cl;18.05;o;Serviezen;26102376850;Sligro
105185.1;1;ds;;;Arcoroc sorbet coupe 38cl;18.29;o;Glaswerk;26102432938;Sligro
105083.1;1;ds;;;Arcoroc kyoto sorbetglas 32cl;14.35;o;Glaswerk;26102482162;Sligro
106411.1;1;ds;;;Arcoroc beker sumatra 23 m/o(geh glas);9.45;o;Serviezen;26102510728;Sligro
18480.1;1;st;;;Arcoroc asbak stapelbaar helder 107mm;7.79;o;Restaurantbenodigdheden;26102866436;Sligro
28294.1;1;ds;;;Arcoroc salto tumbler 32cl transparant;7.13;o;Glaswerk;26102966945;Sligro
447993.1;1;ds;;;Arcoroc salto longdrinkglas 35cl transp;7.65;o;Glaswerk;26102966952;Sligro
447760.1;6;fl;1;lt;Ocean spray cranberry juice, pet-fles;1.81;d;Vruchtensappen;31200456991;Sligro
447621.1;1;st;0;;Ettore raamtrekker rvs 45cm;6.60;o;Schoonmaakartikelen;32611620186;Sligro
451989.1;1;st;;;Atelier karaf 0.10ltr;2.00;o;Glaswerk;32622019627;Sligro
892533.1;1;ds;;;Luigi bormioli thee/koffiemok 22cl dw;8.08;o;Serviezen;32622021873;Sligro
197514.1;1;pk;454;gr;Arm&hammer baking soda;1.09;d;Patisserieprodukten;33200011101;Sligro
606584.1;1;zk;1;kg;Bonduelle aubergine gegrild;6.27;f;Groen&fruit diepvr. foodservic;43387000423;Sligro
108751.1;1;pt;400;gr;Mae ploy curry paste green;2.28;f;Oosterse keuken;44738102353;Sligro
108565.1;1;st;;;Fifoflessen precisiedop 6-pack;4.85;o;Keukengereedschappen;63141533011;Sligro
979314.1;1;ds;100;gr;Patak’s pappadums naturel;1.43;f;Etnisch;69276981017;Sligro
17714.1;1;zk;1;kg;Yama wasabi poeder 1kg;9.12;f;Oosterse keuken;77377834606;Sligro
24494.1;1;fl;510;gr;Lee kum kee panda oyster sauce;1.85;f;Oosterse keuken;78895300024;Sligro
756509.1;1;fl;397;gr;Lee kum kee hoisin sauce;2.28;f;Oosterse keuken;78895700022;Sligro
