ArtikelID;Omschrijving;Eenheid;Inhoud;Prijs;Barcode;Leverancier;Categorie;Subcategorie;;
HA61617;IJs Aardbei ijs 5l;bk;5 lt;6.99;5410410000531;havi;f;desserts ijs & siropen;;
HA61617.1;IJS Aardbei ijs;bk;5 lt;x;61617;havi;f;desserts ijs & siropen;;
HA61618;IJs Banaan ijs 5l;bk;5 lt;6.99;5410410000555;havi;f;desserts ijs & siropen;;
HA61618.1;IJs Banaan ijs;bk;5 lt;x;61618;havi;f;desserts ijs & siropen;;
HA61619;IJs Ronde ijstaart vanille 3x1,5Lt;ds;3 * 1,5 lt;13.21;5410410003747;havi;f;desserts ijs & siropen;;
HA61619.1;IJs Ronde ijstaart vanille ;ds;3 * 1,5 lt;x;61619;havi;f;desserts ijs & siropen;;
HA61620;IJs Nougatine ijstaart 3x1,5 lt;ds;3 * 1,5 lt;13.21;5410410003723;havi;f;desserts ijs & siropen;;
HA61620.1;IJs Nougatine ijstaart;ds;3 * 1,5 lt;x;61620;havi;f;desserts ijs & siropen;;
HA61621;IJs Cassata 4x1,5 lt;ds;4 * 1,5 lt;23.99;8711351001500;havi;f;desserts ijs & siropen;;
HA61621.1;IJS Cassata ;ds;4 * 1,5 lt;x;61621;havi;f;desserts ijs & siropen;;
HA61622;Zaanse cacao spuitzak 4x1,5 lt;ds;4 * 1,5 lt;15.65;5410410000876;havi;f;desserts ijs & siropen;;
HA61622.1;Zaanse cacao spuitzak;st;105 lt;x/4;61622;havi;f;desserts ijs & siropen;;
HA61623;Bitterkoekjes spuitzak 4x1,5Lt;ds;4 * 1,5 lt;15.65;5410410000890;havi;f;desserts ijs & siropen;;
HA61623.1;Bitterkoekjes spuitzak;ds;4 * 1,5 lt;x;61623;havi;f;desserts ijs & siropen;;
HA61624;IJs Kaneel roomijs 5l;bk;5 lt;6.99;5410410000562;havi;f;desserts ijs & siropen;;
HA61624.1;IJS Kaneel roomijs;bk;5 lt;x;61624;havi;f;desserts ijs & siropen;;
HA61639;IJs Hazelnoot Ijs Gelato Antonio;ds;5 lt;6.99;5410410007295;havi;f;desserts ijs & siropen;;
HA61639.1;IJS Hazelnoot Ijs Gelato Antonio;bk;5 lt;x;61639;havi;f;desserts ijs & siropen;;
HA61700;Bloemkool 35-60mm 4x2.5kg;ds;4 * 2,5 kg;10.95;8710816000072;havi;f;aardappel groente & fruit;;
HA61700.1;Bloemkool 35-60mm ;ds;4 * 2,5 kg;x;8710816000072;havi;f;aardappel groente & fruit;;
HA61700.2;Bloemkool 35-60mm ;zk;2,5 kg;x/4;61700;havi;f;aardappel groente & fruit;;
HA61701;Gebroken Bonen 3-4 cm 4x2.5kg;ds;4 * 2,5 kg;9.95;8710816000133;havi;f;aardappel groente & fruit;;
HA61701.2;Gebroken Bonen 3-4 cm;zk;2,5 kg;x/4;8710816700026;havi;f;aardappel groente & fruit;;
HA61702;Hele bonen 8-9 mm 4x2.5kg;ds;4 * 2,5 kg;10.5;8710816000188;havi;f;aardappel groente & fruit;;
HA61702.2;Hele bonen 8-9 mm ;zk;2,5 kg;x/4;61702;havi;f;aardappel groente & fruit;;
HA61702.3;Hele bonen 8-9 mm ;zk;2,5 kg;x/4;8710816700033;havi;f;aardappel groente & fruit;;
HA61704;Tuinbonen 16-22mm fijn 4x2.5kg;ds;4 * 2,5 kg;16.7;8710816000249;havi;f;aardappel groente & fruit;;
HA61704.2;Tuinbonen 16-22mm fijn ;zk;2.5 kg;x/4;61704;havi;f;aardappel groente & fruit;;
HA61705;Broccoli 30-50mm IQF 2x2.5kg;ds;2 * 2,5 kg;7.75;8710816000287;havi;f;aardappel groente & fruit;;
HA61705.2;Broccoli 30-50mm IQF;zk;2,5 kg;x/2;61705;havi;f;aardappel groente & fruit;;
HA61707;Paprikastrips rd/gn 5mm4x2.5kg;ds;4 * 2,5 kg;13.65;8710816000843;havi;f;aardappel groente & fruit;;
HA61707.2;Paprikastrips rd/gn 5mm;zk;2,5 kg;x/4;61707;havi;f;aardappel groente & fruit;;
HA61707.3;Paprikastrips rd/gn 5mm;zk;2,5 kg;x/4;8710816700651;havi;f;aardappel groente & fruit;;
HA61708;Schorseneren 3-5cm 4x2.5kg;ds;4 * 2,5 kg;21.5;8710816000973;havi;f;aardappel groente & fruit;;
HA61708.2;Schorseneren 3-5cm;zk;2,5 kg;x/4;61708;havi;f;aardappel groente & fruit;;
HA61709;Broccoli mix;ds;4 * 2,5 kg;13.2;8710816000584;havi;f;aardappel groente & fruit;;
HA61709.2;Broccoli mix;zk;2,5 kg;x/4;61709;havi;f;aardappel groente & fruit;;
HA61709.3;Broccoli mix;zk;2,5 kg;x/4;8710816700224;havi;f;aardappel groente & fruit;;
HA61710;Wortel wedges 4x2.5kg;ds;4 * 2,5 kg;10.5;8710816006760;havi;f;aardappel groente & fruit;;
HA61710.1;Wortel wedges;ds;4 * 2,5 kg;x;61710;havi;f;aardappel groente & fruit;;
HA61710.2;Wortel wedges;zk;2,5 kg;x/4;8710816800436;havi;f;aardappel groente & fruit;;
HA61711;Bladspinazie gep.60gr 4x2.5kg;ds;4 * 2,5 kg;9.99;8710816001109;havi;f;aardappel groente & fruit;;
HA61711.2;Bladspinazie gep.60gr;zk;2,5 kg;x/4;61711;havi;f;aardappel groente & fruit;;
HA61711.3;Bladspinazie gep.60gr;zk;2,5 kg;x/4;8710816700910;havi;f;aardappel groente & fruit;;
HA61712;Zure kersen zonder pit 2x2.5kg;ds;2 * 2,5 kg;13.61;8710816001666;havi;f;aardappel groente & fruit;;
HA61712.1;Zure kersen zonder pit 2x2.5kg;zk;2,5 kg;x/4;61712;havi;f;aardappel groente & fruit;;
HA61713;Bosvruchten mix 2x2.5kg;ds;2 * 2,5 kg;15.51;8710816001581;havi;f;aardappel groente & fruit;;
HA61713.1;Bosvruchten mix 2x2.5kg;zk;2,5 kg;x/2;61713;havi;f;aardappel groente & fruit;;
HA61713.2;Bosvruchten mix 2x2.5kg;ds;2 * 2,5 kg;x;8710816001581;havi;f;aardappel groente & fruit;;
HA61714;Mexico mix 4x2.5kg;ds;4 * 2,5 kg;10.95;8710816000690;havi;f;aardappel groente & fruit;;
HA61714.1;Mexico mix ;zk;2,5 kg;x/4;61714;havi;f;aardappel groente & fruit;;
HA61715;Euro-mix 4x2.5kg;ds;4 * 2,5 kg;13.75;8710816390036;havi;f;aardappel groente & fruit;;
HA61715.1;Euro-mix ;zk;2,5 kg;x/4;61715;havi;f;aardappel groente & fruit;;
HA61719;Rodekool met appel 4x2.5kg;ds;4 * 2,5 kg;12.5;8710816004674;havi;f;aardappel groente & fruit;;
HA61719.1;Rodekool met appel 4x2.5kg;zk;2,5 kg;x/4;61719;havi;f;aardappel groente & fruit;;
HA61720;Erwten extra Fijn<7.5mm4x2.5kg;ds;4 * 2,5 kg;13.7;8710816000379;havi;f;aardappel groente & fruit;;
HA61720.1;Erwten extra Fijn<7.5mm;zk;2,5 kg;x/4;61720;havi;f;aardappel groente & fruit;;
HA61720.2;Tuinerwten extra fijn;zk;2,5 kg;x/4;8710816700286;havi;f;aardappel groente & fruit;;
HA61721;Waspeen gesneden6-14mm 4x2.5kg;ds;4 * 2,5 kg;9.7;8710816001239;havi;f;aardappel groente & fruit;;
HA61721.1;Waspeen gesneden6-14mm ;zk;2,5 kg;x/4;61721;havi;f;aardappel groente & fruit;;
HA61721.2;Waspeen gesneden;zk;2,5 kg;x/4;8710816700132;havi;f;aardappel groente & fruit;;
HA61722;Boerenkool Portie 4x2.5kg BA;ds;4 * 2,5 kg;7.86;8710816000492;havi;f;aardappel groente & fruit;;
HA61722.1;Boerenkool Portie  BA;zk;2,5 kg;x/4;61722;havi;f;aardappel groente & fruit;;
HA61723;Spruiten 25-32 4x 2.5 kg;ds;4 * 2,5 kg;10.3;8710816701031;havi;f;aardappel groente & fruit;;
HA61723.1;Spruiten 25-32 ;zk;2,5 kg;x/4;61723;havi;f;aardappel groente & fruit;;
HA61727;Hele bonen extrafijn 7,5mm 5kg;ds;5 kg;8.88;8710816002373;havi;f;aardappel groente & fruit;;
HA61727.1;Hele bonen extrafijn 7,5mm 5kg;ds;5 kg;x;61727;havi;f;aardappel groente & fruit;;
HA61728;Bloemkool Oerlemans;zk;2,5 kg;0;61728;havi;f;aardappel groente & fruit;;
HA61728;Oerlemans bloemkool;ds;2*2,5 kg;5.49;8710816002144;havi;f;aardappel groente & fruit;;
HA61728.1;Red snapper (roodbaars);zk;1 kg;x/5;8717853670473;havi;f;vis & visconserven;;
HA61729;Oerlemans romanesco;ds;5 kg;0;;havi;f;groen&fruit diepvr. foodservic;;
